3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
gav,NA,NA,NA,NA,NA,NA,NA,NA,NA,aplochiton zebra
gbb,NA,NA,NA,NA,NA,NA,NA,NA,NA,brachygalaxias bullocki
ggb,NA,NA,NA,NA,NA,NA,NA,NA,NA,koaro
ggf,NA,NA,NA,NA,NA,NA,NA,NA,NA,banded kokopu
ggm,NA,NA,NA,NA,NA,NA,NA,NA,NA,inanga
ggp,NA,NA,NA,NA,NA,NA,NA,NA,NA,shortjaw kokopu
ggv,NA,NA,NA,NA,NA,NA,NA,NA,NA,common river galaxias
ggz,NA,NA,NA,NA,NA,NA,NA,NA,NA,cape galaxias
gll,NA,NA,NA,NA,NA,NA,NA,NA,NA,tasmanian whitebait
gnb,NA,NA,NA,NA,NA,NA,NA,NA,NA,canterbury mudfish
ggc,NA,NA,NA,NA,NA,NA,NA,NA,NA,tasmanian mudfish
gnd,NA,NA,NA,NA,NA,NA,NA,NA,NA,black mudfish
gpu,NA,NA,NA,NA,NA,NA,NA,NA,NA,shannon galaxias
rpe,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian grayling
rrr,NA,NA,NA,NA,NA,NA,NA,NA,NA,cucumberfish
skn,NA,NA,NA,NA,NA,NA,NA,NA,NA,stokell's smelt
oae,NA,NA,NA,NA,NA,NA,NA,NA,NA,whitebait smelt
hvj,NA,NA,NA,NA,NA,NA,NA,NA,NA,japanese smelt
psm,NA,NA,NA,NA,NA,NA,NA,NA,NA,pond smelt
sus,surf smelt,hypomesus pretiosus,hypomesus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,en_name,surf smelt
sme,european smelt,osmerus eperlanus,osmerus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,en_name,european smelt
smr,rainbow smelt,osmerus mordax,osmerus,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,en_name,rainbow smelt
osy,NA,NA,NA,NA,NA,NA,NA,NA,NA,longfin smelt
eul,eulachon,thaleichthys pacificus,thaleichthys,osmeridae,pisces,"salmons, trouts, smelts",NA,yes,en_name,eulachon
smx,smelts nei,"osmerus spp, hypomesus spp",osmerus,osmeridae,pisces,"salmons, trouts, smelts",smelts,yes,en_name,smelts nei
pca,NA,NA,NA,NA,NA,NA,NA,NA,NA,ayu sweetfish
xsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese noodlefish
snh,NA,NA,NA,NA,NA,NA,NA,NA,NA,neosalangichthys ishikawae
snj,NA,NA,NA,NA,NA,NA,NA,NA,NA,neosalanx jordani
xhk,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese icefish
prs,NA,NA,NA,NA,NA,NA,NA,NA,NA,clearhead icefish
szm,NA,NA,NA,NA,NA,NA,NA,NA,NA,japanese icefish
snn,NA,NA,NA,NA,NA,NA,NA,NA,NA,salanx ariakensis
isz,NA,NA,NA,NA,NA,NA,NA,NA,NA,icefishes nei
evl,NA,NA,NA,NA,NA,NA,NA,NA,NA,broadband anchovy
eca,NA,NA,NA,NA,NA,NA,NA,NA,NA,japanese grenadier anchovy
elb,NA,NA,NA,NA,NA,NA,NA,NA,NA,bates' sabretooth anchovy
anr,NA,NA,NA,NA,NA,NA,NA,NA,NA,atlantic sabretooth anchovy
ezw,NA,NA,NA,NA,NA,NA,NA,NA,NA,sabretooth anchovys nei
elo,NA,NA,NA,NA,NA,NA,NA,NA,NA,sabretoothed thryssa
epm,NA,NA,NA,NA,NA,NA,NA,NA,NA,littlefin anchovy
eph,NA,NA,NA,NA,NA,NA,NA,NA,NA,wingfin anchovy
esm,NA,NA,NA,NA,NA,NA,NA,NA,NA,dusky-hairfin anchovy
esu,NA,NA,NA,NA,NA,NA,NA,NA,NA,common hairfin anchovy
eys,NA,NA,NA,NA,NA,NA,NA,NA,NA,new guinea thryssa
ili,west african ilisha,ilisha africana,ilisha,pristigasteridae,pisces,shads,NA,yes,en_name,west african ilisha
ilo,NA,NA,NA,NA,NA,NA,NA,NA,NA,ilisha compressa
eil,elongate ilisha,ilisha elongata,ilisha,pristigasteridae,pisces,shads,NA,yes,en_name,elongate ilisha
pif,NA,NA,NA,NA,NA,NA,NA,NA,NA,coromandel ilisha
piu,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific ilisha
pim,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigeye ilisha
pie,NA,NA,NA,NA,NA,NA,NA,NA,NA,indian ilisha
pip,NA,NA,NA,NA,NA,NA,NA,NA,NA,javan ilisha
ilk,NA,NA,NA,NA,NA,NA,NA,NA,NA,lobejaw ilisha
pnr,NA,NA,NA,NA,NA,NA,NA,NA,NA,tropical longfin herring
pna,NA,NA,NA,NA,NA,NA,NA,NA,NA,guiana longfin herring
fkc,NA,NA,NA,NA,NA,NA,NA,NA,NA,dove's longfin herring
pht,NA,NA,NA,NA,NA,NA,NA,NA,NA,tardoore
qpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,amazon pellona
peo,indian pellona,pellona ditchela,pellona,pristigasteridae,pisces,shads,NA,yes,en_name,indian pellona
peq,yellowfin river pellona,pellona flavipinnis,pellona,pristigasteridae,pisces,shads,NA,yes,en_name,yellowfin river pellona
qep,NA,NA,NA,NA,NA,NA,NA,NA,NA,american coastal pellona
pem,NA,NA,NA,NA,NA,NA,NA,NA,NA,yellowfin herring
prn,NA,NA,NA,NA,NA,NA,NA,NA,NA,amazon hatchet herring
pru,NA,NA,NA,NA,NA,NA,NA,NA,NA,raconda
cla,black and caspian sea sprat,clupeonella cultriventris,clupeonella,clupeidae,pisces,shads,NA,yes,en_name,black and caspian sea sprat
cle,NA,NA,NA,NA,NA,NA,NA,NA,NA,anchovy sprat
clg,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern caspian sprat
cwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,black-caspian sea sprats nei
cgr,NA,NA,NA,NA,NA,NA,NA,NA,NA,gilchrist's round herring
bbh,blueback shad,alosa aestivalis,alosa,clupeidae,pisces,shads,NA,yes,en_name,blueback shad
cua,NA,NA,NA,NA,NA,NA,NA,NA,NA,alabama shad
asd,allis shad,alosa alosa,alosa,clupeidae,pisces,shads,NA,yes,en_name,allis shad
cuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,caspian marine shad
cui,caspian shad,alosa caspia,alosa,clupeidae,pisces,shads,NA,yes,en_name,caspian shad
ckt,NA,NA,NA,NA,NA,NA,NA,NA,NA,kura shad
tsd,twaite shad,alosa fallax,alosa,clupeidae,pisces,shads,NA,yes,en_name,twaite shad
shc,pontic shad,alosa pontica,alosa,clupeidae,pisces,shads,NA,yes,en_name,pontic shad
cue,NA,NA,NA,NA,NA,NA,NA,NA,NA,caspian anadromous shad
she,NA,NA,NA,NA,NA,NA,NA,NA,NA,black sea shad
shh,hickory shad,alosa mediocris,alosa,clupeidae,pisces,shads,NA,yes,en_name,hickory shad
ale,alewife,alosa pseudoharengus,alosa,clupeidae,pisces,shads,NA,yes,en_name,alewife
sha,american shad,alosa sapidissima,alosa,clupeidae,pisces,shads,NA,yes,en_name,american shad
cuv,NA,NA,NA,NA,NA,NA,NA,NA,NA,saposhnikovi shad
cuh,NA,NA,NA,NA,NA,NA,NA,NA,NA,agrakhan shad
shz,shads nei,alosa spp,alosa,clupeidae,pisces,shads,shads,yes,en_name,shads nei
shd,NA,NA,NA,NA,NA,NA,NA,NA,NA,allis and twaite shads
asp,NA,NA,NA,NA,NA,NA,NA,NA,NA,caspian shads
chg,chacunda gizzard shad,anodontostoma chacunda,anodontostoma,clupeidae,pisces,shads,NA,yes,en_name,chacunda gizzard shad
das,chinese gizzard shad,clupanodon thrissa,clupanodon,clupeidae,pisces,shads,NA,yes,en_name,chinese gizzard shad
shg,NA,NA,NA,NA,NA,NA,NA,NA,NA,american gizzard shad
cda,threadfin shad,dorosoma petenense,dorosoma,clupeidae,pisces,shads,NA,yes,en_name,threadfin shad
dsy,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific gizzard shad
dqx,NA,NA,NA,NA,NA,NA,NA,NA,NA,gizzard shad nei
cgi,NA,NA,NA,NA,NA,NA,NA,NA,NA,ganges river gizzard shad
cgd,NA,NA,NA,NA,NA,NA,NA,NA,NA,burmese river gizzard shad
cgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,indian river shad
hix,NA,NA,NA,NA,NA,NA,NA,NA,NA,kelee shad
dod,dotted gizzard shad,konosirus punctatus,konosirus,clupeidae,pisces,shads,NA,yes,en_name,dotted gizzard shad
cdk,NA,NA,NA,NA,NA,NA,NA,NA,NA,roundbelly pellonuline
dnb,NA,NA,NA,NA,NA,NA,NA,NA,NA,arabian gizzard shad
nco,NA,NA,NA,NA,NA,NA,NA,NA,NA,western pacific gizzard shad
cne,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian river gizzard shad
cnj,NA,NA,NA,NA,NA,NA,NA,NA,NA,japanese gizzard shad
cns,bloch's gizzard shad,nematalosa nasus,nematalosa,clupeidae,pisces,shads,NA,yes,en_name,bloch's gizzard shad
dnh,NA,NA,NA,NA,NA,NA,NA,NA,NA,nematalosa persara
dnn,NA,NA,NA,NA,NA,NA,NA,NA,NA,nematalosa resticularia
plp,NA,NA,NA,NA,NA,NA,NA,NA,NA,river plate sprat
hil,hilsa shad,tenualosa ilisha,tenualosa,clupeidae,pisces,shads,NA,yes,en_name,hilsa shad
twn,NA,NA,NA,NA,NA,NA,NA,NA,NA,longtail shad
ree,NA,NA,NA,NA,NA,NA,NA,NA,NA,reeves shad
tht,NA,NA,NA,NA,NA,NA,NA,NA,NA,laotian shad
tol,toli shad,tenualosa toli,tenualosa,clupeidae,pisces,shads,NA,yes,en_name,toli shad
dcx,diadromous clupeoids nei,clupeoidei,clupeoidei,NA,pisces,shads,diadromous clupeoids,yes,en_name,diadromous clupeoids nei
ikg,NA,NA,NA,NA,NA,NA,NA,NA,NA,caspiomyzon graecus
ikj,NA,NA,NA,NA,NA,NA,NA,NA,NA,greek brook lamprey
law,NA,NA,NA,NA,NA,NA,NA,NA,NA,caspian lamprey
ijx,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern california lamprey
ijz,NA,NA,NA,NA,NA,NA,NA,NA,NA,pit–klamath brook lamprey
ikd,NA,NA,NA,NA,NA,NA,NA,NA,NA,vancouver lamprey
ike,NA,NA,NA,NA,NA,NA,NA,NA,NA,miller lake lamprey
ikf,NA,NA,NA,NA,NA,NA,NA,NA,NA,klamath lamprey
lao,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific lamprey
icj,NA,NA,NA,NA,NA,NA,NA,NA,NA,carpathian lamprey
laf,NA,NA,NA,NA,NA,NA,NA,NA,NA,ukrainian brook lamprey
ikl,NA,NA,NA,NA,NA,NA,NA,NA,NA,korean lamprey
ide,NA,NA,NA,NA,NA,NA,NA,NA,NA,ohio lamprey
idg,NA,NA,NA,NA,NA,NA,NA,NA,NA,chestnut lamprey
idh,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern brook lamprey
idi,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern brook lamprey
idj,NA,NA,NA,NA,NA,NA,NA,NA,NA,mountain brook lamprey
lay,NA,NA,NA,NA,NA,NA,NA,NA,NA,silver lamprey
idk,NA,NA,NA,NA,NA,NA,NA,NA,NA,least brook lamprey
idl,NA,NA,NA,NA,NA,NA,NA,NA,NA,western american river lamprey
lar,river lamprey,lampetra fluviatilis,lampetra,petromyzontidae,pisces,miscellaneous diadromous fishes,NA,yes,en_name,river lamprey
ijy,NA,NA,NA,NA,NA,NA,NA,NA,NA,kern brook lamprey
ikq,NA,NA,NA,NA,NA,NA,NA,NA,NA,turkish brook lamprey
ikr,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific brook lamprey
idn,NA,NA,NA,NA,NA,NA,NA,NA,NA,european brook lamprey
ido,NA,NA,NA,NA,NA,NA,NA,NA,NA,western brook lamprey
idv,NA,NA,NA,NA,NA,NA,NA,NA,NA,lombardy brook lamprey
ikt,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaskan brook lamprey
iku,NA,NA,NA,NA,NA,NA,NA,NA,NA,american brook lamprey
lsz,NA,NA,NA,NA,NA,NA,NA,NA,NA,arctic lamprey
idq,NA,NA,NA,NA,NA,NA,NA,NA,NA,siberian lamprey
idt,NA,NA,NA,NA,NA,NA,NA,NA,NA,western transcaucasian lamprey
idu,NA,NA,NA,NA,NA,NA,NA,NA,NA,far eastern brook lamprey
lau,sea lamprey,petromyzon marinus,petromyzon,petromyzontidae,pisces,miscellaneous diadromous fishes,NA,yes,en_name,sea lamprey
ikv,NA,NA,NA,NA,NA,NA,NA,NA,NA,jacona lamprey
ikw,NA,NA,NA,NA,NA,NA,NA,NA,NA,chapala lamprey
las,lampreys nei,petromyzontidae,petromyzontidae,petromyzontidae,pisces,miscellaneous diadromous fishes,lampreys,yes,en_name,lampreys nei
lae,NA,NA,NA,NA,NA,NA,NA,NA,NA,pouched lamprey
ice,NA,NA,NA,NA,NA,NA,NA,NA,NA,chilean lamprey
lak,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian lamprey
icf,NA,NA,NA,NA,NA,NA,NA,NA,NA,mordacia praecox
mil,milkfish,chanos chanos,chanos,chanidae,pisces,miscellaneous diadromous fishes,NA,yes,en_name,milkfish
gip,barramundi(=giant seaperch),lates calcarifer,lates,centropomidae,pisces,miscellaneous diadromous fishes,NA,yes,en_name,barramundi(=giant seaperch)
aqd,NA,NA,NA,NA,NA,NA,NA,NA,NA,fourspine stickleback
cuz,NA,NA,NA,NA,NA,NA,NA,NA,NA,brook stickleback
gta,three-spined stickleback,gasterosteus aculeatus,gasterosteus,gasterosteidae,pisces,miscellaneous diadromous fishes,NA,yes,en_name,three-spined stickleback
guo,NA,NA,NA,NA,NA,NA,NA,NA,NA,gasterosteus crenobiontus
guw,NA,NA,NA,NA,NA,NA,NA,NA,NA,blackspotted stickleback
skb,NA,NA,NA,NA,NA,NA,NA,NA,NA,sticklebacks
pny,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern ninespine stickleback
gpt,NA,NA,NA,NA,NA,NA,NA,NA,NA,ninespine stickleback
gss,NA,NA,NA,NA,NA,NA,NA,NA,NA,sea stickleback
ghz,NA,NA,NA,NA,NA,NA,NA,NA,NA,sticklebacks nei
pew,NA,NA,NA,NA,NA,NA,NA,NA,NA,white perch
stb,striped bass,morone saxatilis,morone,moronidae,pisces,miscellaneous diadromous fishes,NA,yes,en_name,striped bass
bsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,atlantic seabasses
dia,NA,NA,NA,NA,NA,NA,NA,NA,NA,diadromous fishes nei
sot,spottail spiny turbot,psettodes belcheri,psettodes,psettodidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,spottail spiny turbot
psb,NA,NA,NA,NA,NA,NA,NA,NA,NA,spiny turbot
hai,indian halibut,psettodes erumei,psettodes,psettodidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,indian halibut
hpx,NA,NA,NA,NA,NA,NA,NA,NA,NA,spiny turbots nei
itr,NA,NA,NA,NA,NA,NA,NA,NA,NA,branched ray flounder
cil,spotted flounder,citharus linguatula,citharus,citharidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,spotted flounder
ryz,NA,NA,NA,NA,NA,NA,NA,NA,NA,yellow-dabbled flounder
ldf,NA,NA,NA,NA,NA,NA,NA,NA,NA,scale-eyed flounder
ito,NA,NA,NA,NA,NA,NA,NA,NA,NA,twospot largescale flounder
cit,citharids nei,citharidae,citharidae,citharidae,pisces,"flounders, halibuts, soles",citharids,yes,en_name,citharids nei
ldb,four-spot megrim,lepidorhombus boscii,lepidorhombus,scophthalmidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,four-spot megrim
meg,megrim,lepidorhombus whiffiagonis,lepidorhombus,scophthalmidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,megrim
lez,megrims nei,lepidorhombus spp,lepidorhombus,scophthalmidae,pisces,"flounders, halibuts, soles",megrims,yes,en_name,megrims nei
fld,windowpane flounder,scophthalmus aquosus,scophthalmus,scophthalmidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,windowpane flounder
tur,turbot,psetta maxima,psetta,scophthalmidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,turbot
bll,brill,scophthalmus rhombus,scophthalmus,scophthalmidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,brill
frn,NA,NA,NA,NA,NA,NA,NA,NA,NA,norwegian topknot
zgp,NA,NA,NA,NA,NA,NA,NA,NA,NA,topknot
zlr,NA,NA,NA,NA,NA,NA,NA,NA,NA,eckström's topknot
scf,turbots nei,scophthalmidae,scophthalmidae,scophthalmidae,pisces,"flounders, halibuts, soles",turbots,yes,en_name,turbots nei
iyr,NA,NA,NA,NA,NA,NA,NA,NA,NA,gulf stream flounder
iye,NA,NA,NA,NA,NA,NA,NA,NA,NA,sand whiff
iyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigmouth sanddab
iyy,NA,NA,NA,NA,NA,NA,NA,NA,NA,anglefin whiff
fnq,NA,NA,NA,NA,NA,NA,NA,NA,NA,small sanddab
iyo,pacific sanddab,citharichthys sordidus,citharichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,pacific sanddab
iyp,NA,NA,NA,NA,NA,NA,NA,NA,NA,bay whiff
iyt,NA,NA,NA,NA,NA,NA,NA,NA,NA,smooth flounder
iym,NA,NA,NA,NA,NA,NA,NA,NA,NA,speckled sanddab
ylz,NA,NA,NA,NA,NA,NA,NA,NA,NA,mexican flounder
ylp,god's flounder,cyclopsetta panamensis,cyclopsetta,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,god's flounder
ylq,NA,NA,NA,NA,NA,NA,NA,NA,NA,toothed flounder
uco,NA,NA,NA,NA,NA,NA,NA,NA,NA,fringed flounder
umi,NA,NA,NA,NA,NA,NA,NA,NA,NA,smallmouth flounder
upe,NA,NA,NA,NA,NA,NA,NA,NA,NA,peruvian flounder
ygl,NA,NA,NA,NA,NA,NA,NA,NA,NA,papillose flounder
yag,NA,NA,NA,NA,NA,NA,NA,NA,NA,shoal flounder
yal,NA,NA,NA,NA,NA,NA,NA,NA,NA,beach flounder
yam,NA,NA,NA,NA,NA,NA,NA,NA,NA,channel flounder
yzs,NA,NA,NA,NA,NA,NA,NA,NA,NA,dusky flounder
qxo,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotless lefteye flounder
rgk,NA,NA,NA,NA,NA,NA,NA,NA,NA,cape scaldfish
rkz,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaldback
rli,NA,NA,NA,NA,NA,NA,NA,NA,NA,imperial scaldfish
msf,mediterranean scaldfish,arnoglossus laterna,arnoglossus,bothidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,mediterranean scaldfish
qfe,NA,NA,NA,NA,NA,NA,NA,NA,NA,rüppell's scaldback
qxp,NA,NA,NA,NA,NA,NA,NA,NA,NA,drab flounder
rnh,NA,NA,NA,NA,NA,NA,NA,NA,NA,thor's scaldfish
rgx,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaldfishes nei
toj,NA,NA,NA,NA,NA,NA,NA,NA,NA,angler flatfish
oht,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific eyed flounder
otl,NA,NA,NA,NA,NA,NA,NA,NA,NA,peacock flounder
bwm,NA,NA,NA,NA,NA,NA,NA,NA,NA,mottled flounder
btk,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowery flounder
ouo,NA,NA,NA,NA,NA,NA,NA,NA,NA,eyed flounder
oun,leopard flounder,bothus pantherinus,bothus,bothidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,leopard flounder
oub,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide-eyed flounder
bku,NA,NA,NA,NA,NA,NA,NA,NA,NA,chascanopsetta crumenalis
nbg,NA,NA,NA,NA,NA,NA,NA,NA,NA,pelican flounder
cbz,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue flounder
egs,NA,NA,NA,NA,NA,NA,NA,NA,NA,speckled-tail flounder
egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,largescale flounder
grh,NA,NA,NA,NA,NA,NA,NA,NA,NA,threespot flounder
jpd,NA,NA,NA,NA,NA,NA,NA,NA,NA,japonolaeops gracilis
kam,NA,NA,NA,NA,NA,NA,NA,NA,NA,wide-mouthed flounder
lku,NA,NA,NA,NA,NA,NA,NA,NA,NA,clear fin-base flounder
kzr,NA,NA,NA,NA,NA,NA,NA,NA,NA,günther's flounder
lfg,NA,NA,NA,NA,NA,NA,NA,NA,NA,crested flounder
bml,NA,NA,NA,NA,NA,NA,NA,NA,NA,slim flounder
bvj,NA,NA,NA,NA,NA,NA,NA,NA,NA,martens’ moonflounder
nlm,NA,NA,NA,NA,NA,NA,NA,NA,NA,crosseyed flounder
bpk,NA,NA,NA,NA,NA,NA,NA,NA,NA,parabothus coarctatus
eso,NA,NA,NA,NA,NA,NA,NA,NA,NA,striped-fin flounder
bsv,NA,NA,NA,NA,NA,NA,NA,NA,NA,psettina brevirictis
tpk,NA,NA,NA,NA,NA,NA,NA,NA,NA,taeniopsetta ocellata
tbn,NA,NA,NA,NA,NA,NA,NA,NA,NA,tosarhombus neocaledonicus
tsj,NA,NA,NA,NA,NA,NA,NA,NA,NA,caribbean flounder
lef,lefteye flounders nei,bothidae,bothidae,bothidae,pisces,"flounders, halibuts, soles",lefteye flounders,yes,en_name,lefteye flounders nei
nyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyclope flounder
nyr,NA,NA,NA,NA,NA,NA,NA,NA,NA,three-spot flounder
ydy,NA,NA,NA,NA,NA,NA,NA,NA,NA,cephalopsetta ventrocellata
gpf,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrimp flounder
kwi,NA,NA,NA,NA,NA,NA,NA,NA,NA,hippoglossina bollmani
hgo,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigeye flounder
hjs,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigmouth flounder
ipf,NA,NA,NA,NA,NA,NA,NA,NA,NA,large-tooth flounders
rie,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine flounder
ysb,NA,NA,NA,NA,NA,NA,NA,NA,NA,gulf flounder
ysl,NA,NA,NA,NA,NA,NA,NA,NA,NA,brazilian flounder
ysf,california flounder,paralichthys californicus,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,california flounder
fls,summer flounder,paralichthys dentatus,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,summer flounder
ysv,NA,NA,NA,NA,NA,NA,NA,NA,NA,paralichthys isosceles
ysh,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern flounder
yso,fourspot flounder,paralichthys oblongus,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,fourspot flounder
bah,bastard halibut,paralichthys olivaceus,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,bastard halibut
eoo,NA,NA,NA,NA,NA,NA,NA,NA,NA,paralichthys orbignyanus
qpp,NA,NA,NA,NA,NA,NA,NA,NA,NA,patagonian flounder
rjz,NA,NA,NA,NA,NA,NA,NA,NA,NA,tropical flounder
ysw,NA,NA,NA,NA,NA,NA,NA,NA,NA,speckled flounder
bax,bastard halibuts nei,paralichthys spp,paralichthys,paralichthyidae,pisces,"flounders, halibuts, soles",bastard halibuts,yes,en_name,bastard halibuts nei
uha,NA,NA,NA,NA,NA,NA,NA,NA,NA,largetooth flounder
cif,NA,NA,NA,NA,NA,NA,NA,NA,NA,cinnamon flounder
qym,NA,NA,NA,NA,NA,NA,NA,NA,NA,four twin-spot flounder
uhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep flounder
uhj,NA,NA,NA,NA,NA,NA,NA,NA,NA,javan flounder
uhg,NA,NA,NA,NA,NA,NA,NA,NA,NA,malayan flounder
uho,NA,NA,NA,NA,NA,NA,NA,NA,NA,roughscale flounder
uhp,NA,NA,NA,NA,NA,NA,NA,NA,NA,fivespot flounder
uht,NA,NA,NA,NA,NA,NA,NA,NA,NA,three spotted flounder
ukx,NA,NA,NA,NA,NA,NA,NA,NA,NA,pseudorhombus spp
tfe,NA,NA,NA,NA,NA,NA,NA,NA,NA,tarphops elegans
tfs,NA,NA,NA,NA,NA,NA,NA,NA,NA,tephrinectes sinensis
xyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,fantail flounder
ntj,NA,NA,NA,NA,NA,NA,NA,NA,NA,scale-eye plaice
kaf,kamchatka flounder,atheresthes evermanni,atheresthes,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,kamchatka flounder
arf,arrowtooth flounder,atheresthes stomias,atheresthes,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,arrowtooth flounder
hzj,NA,NA,NA,NA,NA,NA,NA,NA,NA,pointhead flounder
cjj,NA,NA,NA,NA,NA,NA,NA,NA,NA,sôhachi
cdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,clidoderma asperrimum
dxr,NA,NA,NA,NA,NA,NA,NA,NA,NA,rikuzen flounder
epw,NA,NA,NA,NA,NA,NA,NA,NA,NA,shotted halibut
eoj,petrale sole,eopsetta jordani,eopsetta,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,petrale sole
wit,witch flounder,glyptocephalus cynoglossus,glyptocephalus,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,witch flounder
tka,NA,NA,NA,NA,NA,NA,NA,NA,NA,willowy flounder
glz,NA,NA,NA,NA,NA,NA,NA,NA,NA,rex sole
hgd,NA,NA,NA,NA,NA,NA,NA,NA,NA,flathead flounder
fts,flathead sole,hippoglossoides elassodon,hippoglossoides,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,flathead sole
pla,amer. plaice(=long rough dab),hippoglossoides platessoides,hippoglossoides,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,amer. plaice(=long rough dab)
hal,atlantic halibut,hippoglossus hippoglossus,hippoglossus,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,atlantic halibut
hap,pacific halibut,hippoglossus stenolepis,hippoglossus,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,pacific halibut
isi,NA,NA,NA,NA,NA,NA,NA,NA,NA,butter sole
ros,rock sole,lepidopsetta bilineata,lepidopsetta,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,rock sole
lso,NA,NA,NA,NA,NA,NA,NA,NA,NA,dusky sole
kzc,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern rock sole
yes,yellowfin sole,limanda aspera,limanda,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,yellowfin sole
dab,common dab,limanda limanda,limanda,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,common dab
lkq,NA,NA,NA,NA,NA,NA,NA,NA,NA,sakhalin sole
yex,NA,NA,NA,NA,NA,NA,NA,NA,NA,limandas nei
eog,NA,NA,NA,NA,NA,NA,NA,NA,NA,arctic flounder
eom,NA,NA,NA,NA,NA,NA,NA,NA,NA,liopsetta putnami
lyw,NA,NA,NA,NA,NA,NA,NA,NA,NA,slender sole
mjc,NA,NA,NA,NA,NA,NA,NA,NA,NA,slime flounder
ebh,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep-sea sole
lem,lemon sole,microstomus kitt,microstomus,pleuronectidae,pisces,"flounders, halibuts, soles",NA,yes,en_name,lemon sole
